913
56.00	67.00	88.00	87.00	87.00	87.00	3.67
87.00	87.00	66.00	87.00	67.00	87.00	3.75
677.00	78.00	78.00	76.00	78.00	89.00	3.83
89.00	89.00	87.00	87.00	66.00	86.00	3.88
87.00	67.00	676.00	76.00	76.00	76.00	3.75
76.00	88.00	778.00	89.00	99.00	76.00	3.92
923
78.00	78.00	78.00	78.00	78.00	78.00	3.75
78.00	78.00	78.00	78.00	78.00	78.00	3.75
78.00	67.00	9.00	87.00	67.00	78.00	0.00
6.00	78.00	78.00	78.00	67.00	67.00	0.00
87.00	67.00	65.00	76.00	56.00	76.00	3.46
67.00	76.00	67.00	76.00	67.00	776.00	3.54
